filename;brand;name;description;tags;Business Unit;Asset Type;Asset Sub-Type;Asset Product-Type;Perspective;Channel;Channel Sub-Type;Product Type;Product Category;Product Sub-Category;Product Sub-Sub Category;SKU;Alt Text;Locale;Department;Promotion/Event;Year;Usage Rights;File Type
In-Between-installation.jpg;;washcombo-all-in-one_landing-page_In-Between-installation;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
Mobile-all-in-one.jpg;;washcombo-all-in-one_landing-page_Mobile-all-in-one;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
Mobile-dimensions.jpg;;washcombo-all-in-one_landing-page_Mobile-dimensions;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
Mobile-installation.jpg;;washcombo-all-in-one_landing-page_Mobile-installation;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
Tablet-all-in-one.jpg;;washcombo-all-in-one_landing-page_Tablet-all-in-one;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
Tablet-dimensions.jpg;;washcombo-all-in-one_landing-page_Tablet-dimensions;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
Tablet-installation.jpg;;washcombo-all-in-one_landing-page_Tablet-installation;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
nav-drop-arrow-open.svg;;washcombo-all-in-one_landing-page_nav-drop-arrow-open;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
scroll-animation-card-dot.svg;;washcombo-all-in-one_landing-page_scroll-animation-card-dot;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
washcombo-logo-vertical.svg;;washcombo-all-in-one_landing-page_washcombo-logo-vertical;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
washcombo-logo.svg;;washcombo-all-in-one_landing-page_washcombo-logo;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
thinq.jpg;;washcombo-all-in-one_landing-page_thinq;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
towel.png;;washcombo-all-in-one_landing-page_towel;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
under-the-stairs.jpg;;washcombo-all-in-one_landing-page_under-the-stairs;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
ventless-img-1.jpg;;washcombo-all-in-one_landing-page_ventless-img-1;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
ventless-img-2.jpg;;washcombo-all-in-one_landing-page_ventless-img-2;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
VentlessDryingCTA.png;;washcombo-all-in-one_landing-page_VentlessDryingCTA;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
WM6998HBA Right Angle_cycle 1.png;;washcombo-all-in-one_landing-page_WM6998HBA Right Angle_cycle 1;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
WM6998HVA Front Background Removed 0.png;;washcombo-all-in-one_landing-page_WM6998HVA Front Background Removed 0;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
WM6998HVA Front Background Removed 1.png;;washcombo-all-in-one_landing-page_WM6998HVA Front Background Removed 1;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Photos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
scroll-animation-desktop.mp4;;washcombo-all-in-one_landing-page_scroll-animation-desktop;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Videos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
scroll-animation-mobile.mp4;;washcombo-all-in-one_landing-page_scroll-animation-mobile;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Videos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
washcombo-drumspin-mobile.mp4;;washcombo-all-in-one_landing-page_washcombo-drumspin-mobile;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Videos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
washcombo_heatpump_clip_(Original).mp4;;washcombo-all-in-one_landing-page_washcombo_heatpump_clip_(Original);2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Videos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
Wc Intro R1 Mobile.mp4;;washcombo-all-in-one_landing-page_Wc Intro R1 Mobile;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy, Mobile;CXM;Videos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
Wc Intro R1 Tablet.mp4;;washcombo-all-in-one_landing-page_Wc Intro R1 Tablet;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy, Tablet;CXM;Videos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
WC_DrumSpin_r2.mp4;;washcombo-all-in-one_landing-page_WC_DrumSpin_r2;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Videos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
WC_Drum_Spin_heatpump_r4.mp4;;washcombo-all-in-one_landing-page_WC_Drum_Spin_heatpump_r4;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Videos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
WC_Intro_animatic_r5.mp4;;washcombo-all-in-one_landing-page_WC_Intro_animatic_r5;2024 Washcombo All in One Homepage Assets;Homepage, HP, All-in-One, Energy;CXM;Videos;Lifestyle, Product;Landing Page;;LG.com;;Appliances;Washers & Dryers;Washers;Front Load;;;en_US;CMS;;2024;;
